Office_Nam,District,District_old,cityblock,Address,Latitude,Longitude,print,Pricepre,Price,Avg_HousePrice,weibo_count,center_dis,center_FID,Subway_Dispre,Subway_Dis,busstation_Countpre,busstation_Count,bank_Countpre,bank_Count,shopping_Count,food_Countpre,food_Count,Residential_Count,firm_Count,education_Count,空间多样性,基础服务多样性,基础服务内容,企业服务多样性,企业服务内容,写字楼面积,写字楼电梯数量
创客邦（华夏幸福创新中心）,5,丰台,科技园区,汽车博物馆西路8号院,39.82211786,116.2948976,11,5.319148936,1100,"58,355.19",19,0.133251232,6,10.58929814,438.18,1.257861635,2,0,0,1,0.225035162,8,1,0,0,4,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, , ,0
太库科技孵化器（华夏幸福创新中心）,5,丰台,科技园区,汽车博物馆西路8号院,39.82276686,116.2950456,12,6.382978723,1200,"58,260.49",17,0.132722366,6,10.36148991,428.85,1.257861635,2,0,0,1,0.281293952,10,1,0,0,5,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
启迪汇威孵化器(汉威国际广场),5,丰台,科技园区,南四环西路186号,39.82678935,116.28901,12,6.382978723,1200,"56,939.40",27,0.134978832,6,8.01650572,332.81,8.805031447,14,11.11111111,7,7,1.406469761,50,10,8,0,5,16,前台接见 办公家具 复印打印 办公宽带 WIFI 会议室 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,600000,36
摩天之星（时代财富天地）,5,丰台,科技园区,航丰路1号,39.83065696,116.2802917,14,8.510638298,1400,"53,852.45",191,0.137727571,5,10.3570949,428.67,18.86792453,30,22.22222222,14,11,6.075949367,216,24,0,0,6,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,110000,10
永乐文化创客空间,5,丰台,其他,造甲街110号,39.84286421,116.2899816,10,4.255319149,1000,"56,845.67",303,0.122151554,5,6.653807181,277,16.35220126,26,1.587301587,1,41,11.61744023,413,59,21,0,5,21,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 微波炉 冰箱 卫生间配套 办公清洁,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
中关村海淀创业园（焦奥）分园（焦奥中心）,3,朝阳,其他,化工路59号,39.84976604,116.5258588,12,6.382978723,1200,"48,897.00",65,0.103902654,1,10.11878746,418.91,11.32075472,18,0,0,14,2.475386779,88,2,0,2,4,18,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,150000,6
优客工场（云谷电子商务产业园）,5,丰台,方庄,南方庄56号院,39.85379004,116.4296376,12,6.382978723,1200,"62,533.63",240,0.057307331,2,26.73828912,1099.57,41.50943396,66,4.761904762,3,54,19.07172996,678,111,2,1,4,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,30000,0
梦想加（聚杰金融大厦）,5,丰台,丽泽桥,丽泽路和菜户营路交叉处西南角700米,39.85997465,116.3441814,15,9.574468085,1500,"69,913.42",38,0.07120134,6,9.653160137,399.84,7.547169811,12,1.587301587,1,8,5.147679325,183,9,1,8,10,18,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,196085,0
嗨淘客众创空间(高和?蓝峰),3,朝阳,十里河,朝阳区区东三环南路98号,39.86486782,116.455818,19,13.82978723,1900,"58,093.25",166,0.060601792,2,6.907741329,287.4,44.65408805,71,20.63492063,13,17,16.82137834,598,29,1,0,2,7,会议室 洽谈室 咖啡厅 茶水间 书吧 休闲区 饮用水,0, ,43500,3
瀚海众创空间（瀚海花园大厦）,5,丰台,右安门,开阳路1号,39.86708749,116.3676534,7,1.063829787,700,"87,021.04",157,0.050061687,6,14.60536436,602.66,30.81761006,49,14.28571429,9,32,12.43319269,442,70,0,0,1,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,32000,3
