Office_Nam,District,City,District_old,cityblock,Address,Area,Price_show,Pricepre,Price,Subway_Dispre,Subway_Dis,Latitude,Longitude,Construct,装修程度,Elevator_num,Building_size,平均房价,微博签到数,中心区距离,中心区ID,busstation_Countpre,busstation_Count,education_Count,food_Countpre,food_Count,firm_Count,Residential_Count,bank_Countpre,bank_Count,shopping_Count
梦想加天桥艺术加,2,北京市,西城,其他,福长街47号,1800,1400,15.15151515,7,4.178819702,198.621994,36.677801,116.987,3,中等装修,8,61941,109824.8296,116,3577.23999,5,27.68361582,49,2,8.351488744,345,0,91,6.493506494,5,17
邮政南楼,4,北京市,海淀,中关村,中关村大街9号邮局南楼,900,1200,12.12121212,6,32.05731344,1400.849976,39.988255,116.322535,4,精装修,4,60000,88236.93233,564,2504.360107,0,20.9039548,37,18,8.109416606,335,5,66,5.194805195,4,7
亮点七条文创园,1,北京市,东城,东四,北京市东城区东四北大街东四七条114-1号,800,2600,33.33333333,13,5.291568394,246.6080017,39.937526,116.424085,2,简装修,36,264000,98606.94771,215,1320.410034,5,38.4180791,68,2,29.24231421,1208,1,74,25.97402597,20,55
亮点七条文创园,1,北京市,东城,东四,北京市东城区东四北大街东四七条114-1号,461,2200,27.27272727,11,5.291568394,246.6080017,39.937526,116.424085,4,精装修,36,264000,98606.94771,215,1320.410034,5,38.4180791,68,2,29.24231421,1208,1,74,25.97402597,20,55
亮点七条文创园,1,北京市,东城,东四,北京市东城区东四北大街东四七条114-1号,627,2200,27.27272727,11,10.8903498,488.0490112,39.937526,116.424085,4,精装修,5,50000,98850.13092,272,792.2009888,7,27.68361582,49,1,22.22222222,918,1,68,51.94805195,40,70
亮点七条文创园,1,北京市,东城,东四,北京市东城区东四北大街东四七条114-1号,219,2000,24.24242424,10,6.35209543,292.3420105,39.937526,116.424085,1,毛坯,6,19741,102371.6475,211,1296.920044,7,12.99435028,23,1,11.90994916,492,0,97,29.87012987,23,43
汉威国际广场,5,北京市,丰台,科技园区/总部基地,南四环西路186号,911,1000,9.090909091,5,11.36182906,508.381012,39.821346,116.295497,2,简装修,3,32400,90261.95624,205,2539.060059,2,42.37288136,75,1,11.25635439,465,0,42,7.792207792,6,38
汉威国际广场,5,北京市,丰台,科技园区/总部基地,南四环西路186号,342,2600,33.33333333,13,5.963169042,275.5700073,39.821346,116.295497,4,精装修,36,150000,102850.7033,902,521.8900146,2,31.63841808,56,11,50.06051803,2068,1,53,63.63636364,49,154
海格通信产业园,5,北京市,丰台,科技园区/总部基地,北京市丰台区五圈路,550,2200,27.27272727,11,5.372080689,250.0800018,39.822587,116.306995,3,中等装修,6,26000,112422.5404,466,2693.560059,6,27.11864407,48,0,34.59210845,1429,0,70,27.27272727,21,155
海格通信产业园,5,北京市,丰台,科技园区/总部基地,北京市丰台区五圈路,550,1200,12.12121212,6,21.88470718,962.1680298,39.822587,116.306995,2,简装修,0,8969,85901.49766,210,3091.590088,2,36.72316384,65,0,15.05688695,622,2,102,14.28571429,11,36
总部基地,5,北京市,丰台,科技园区/总部基地,南四环西路188号,271,2000,24.24242424,10,5.963169042,275.5700073,39.822922,116.283084,1,毛坯,36,150000,102850.7033,902,521.8900146,2,31.63841808,56,11,50.06051803,2068,1,53,63.63636364,49,154
总部基地,5,北京市,丰台,科技园区/总部基地,南四环西路188号,660,1400,15.15151515,7,12.51483407,558.1030273,39.822922,116.283084,4,精装修,9,150552,95043.28149,258,5685.640137,6,30.50847458,54,0,25.0060518,1033,2,148,31.16883117,24,140
总部基地,5,北京市,丰台,科技园区/总部基地,南四环西路188号,295,1600,18.18181818,8,4.944405321,231.6369934,39.822922,116.283084,4,精装修,4,26000,75240.74648,502,924.4420166,3,27.11864407,48,4,30.30743161,1252,1,213,20.77922078,16,39
总部基地,5,北京市,丰台,科技园区/总部基地,南四环西路188号,271,2400,30.3030303,12,8.20104858,372.0759888,39.822922,116.283084,4,精装修,2,55000,105040.0284,252,1984.030029,5,20.33898305,36,6,14.81481481,612,4,135,27.27272727,21,42
总部基地,5,北京市,丰台,科技园区/总部基地,南四环西路188号,330,1400,15.15151515,7,9.253343257,417.4549866,39.822922,116.283084,4,精装修,12,700000,81636.76154,607,3379.889893,7,63.27683616,112,1,60.37279109,2494,0,21,51.94805195,40,51
总部基地,5,北京市,丰台,科技园区/总部基地,南四环西路188号,295,800,6.060606061,4,4.663145698,219.5079956,39.822922,116.283084,3,中等装修,13,60000,82905.21239,487,2180.350098,3,41.24293785,73,5,48.31759864,1996,0,153,28.57142857,22,178
总部基地,5,北京市,丰台,科技园区/总部基地,南四环西路188号,330,2400,30.3030303,12,3.162630496,154.8000031,39.822922,116.283084,3,中等装修,16,127000,100508.7968,386,952.210022,4,13.55932203,24,7,25.51440329,1054,0,184,46.75324675,36,44
